SYMBOL,SERIES,CLOSE
JKTYRE,EQ,501.45
JLHL,EQ,1056.15
JMA,EQ,100.15
JMFINANCIL,EQ,113.4
JOCIL,EQ,256.0
JPASSOCIAT,EQ,21.9
JPOLYINVST,EQ,638.5
JPPOWER,EQ,16.1
JSL,EQ,538.35
JSWENERGY,EQ,487.65
JSWHL,EQ,5520.25
JSWINFRA,EQ,206.85
JSWSTEEL,EQ,815.7
JTEKTINDIA,EQ,164.65
JTLIND,EQ,258.95
JUBLFOOD,EQ,508.25
JUBLINDS,EQ,576.5
JUBLINGREA,EQ,464.65
JUBLPHARMA,EQ,568.75
JUNIORBEES,EQ,579.09
JUSTDIAL,EQ,841.65
JWL,EQ,394.05
JYOTHYLAB,EQ,546.6
JYOTICNC,EQ,444.15
JYOTISTRUC,EQ,29.85
KABRAEXTRU,EQ,413.65
KAJARIACER,EQ,1339.4
KAKATCEM,EQ,236.25
KALAMANDIR,EQ,245.1
KALYANKJIL,EQ,354.95
KAMATHOTEL,EQ,333.5
KAMDHENU,EQ,585.45
KAMOPAINTS,EQ,226.0
KANANIIND,EQ,10.05
KANORICHEM,EQ,129.55
KANPRPLA,EQ,124.8
KANSAINER,EQ,332.75
KARURVYSYA,EQ,180.25
KAYA,EQ,335.1
KAYNES,EQ,2878.45
KBCGLOBAL,EQ,2.15
KCP,EQ,189.55
KDDL,EQ,2869.85
KEC,EQ,615.95
KECL,EQ,123.25
KEI,EQ,3183.0
KELLTONTEC,EQ,101.5
KESORAMIND,EQ,167.9
KEYFINSERV,EQ,135.35
KFINTECH,EQ,540.35
KHAICHEM,EQ,90.5
KHAITANLTD,EQ,67.45
KHANDSE,EQ,28.0
KICL,EQ,3569.75
KILITCH,EQ,418.6
KIMS,EQ,2074.25
KINGFA,EQ,2140.3
KIOCL,EQ,382.5
KIRIINDUS,EQ,404.05
KIRLOSBROS,EQ,891.45
KIRLOSENG,EQ,689.15
KIRLOSIND,EQ,4137.95
KIRLPNU,EQ,630.35
KITEX,EQ,220.35
KKCL,EQ,753.9
KMSUGAR,EQ,31.9
KNRCON,EQ,263.15
KOKUYOCMLN,EQ,141.5
KOLTEPATIL,EQ,530.55
KOPRAN,EQ,255.5
KOTAKALPHA,EQ,43.52
KOTAKBANK,EQ,1768.4
KOTAKBKETF,EQ,456.9
KOTAKCONS,EQ,96.44
KOTAKGOLD,EQ,52.89
KOTAKIT,EQ,38.47
KOTAKLIQ,EQ,999.99
KOTAKLOVOL,EQ,17.58
KOTAKMID50,EQ,134.1
KOTAKMNC,EQ,24.25
KOTAKNIFTY,EQ,230.29
KOTAKNV20,EQ,135.37
KOTAKPSUBK,EQ,588.99
